contractor_id,district_id,company_size,years_active,number_of_workers,complaint_count,resolved_cases,average_delay_days,average_wage_gap,risk_index,NGO_reports,inspection_history,blacklisted
C02648,D065,9,5.5,9,5,4,7.8,44.46,27.03,1,0,False
C02649,D099,5,17.9,5,1,0,13.3,4.51,16.98,0,2,False
C02650,D017,15,8.9,15,1,0,0.0,6.59,5.47,0,1,False
C02651,D082,8,1.6,8,1,0,0.4,5.08,16.67,0,3,False
C02652,D073,16,2.8,16,7,5,5.3,47.87,33.97,3,1,False
C02653,D083,33,1.4,33,2,0,1.1,7.85,8.96,0,1,False
C02654,D062,4,0.0,4,4,2,4.2,14.21,18.31,0,3,False
C02655,D027,32,1.0,32,1,0,0.8,27.76,9.81,1,0,False
C02656,D088,5,0.0,5,7,5,7.3,78.25,30.06,0,3,False
C02657,D071,104,6.4,104,3,2,17.7,47.27,28.66,2,1,False
C02658,D075,61,2.8,61,2,1,2.4,0.0,9.63,0,0,False
C02659,D061,10,1.9,10,4,2,6.2,5.96,15.39,0,3,False
C02660,D099,4,7.2,4,3,1,1.9,0.0,6.17,0,0,False
C02661,D042,3,8.9,3,3,2,12.7,35.44,22.37,0,2,False
C02662,D097,29,18.5,29,0,0,0.4,0.0,9.19,0,2,False
C02663,D094,11,5.1,11,2,0,1.1,44.96,24.12,1,1,False
C02664,D080,30,3.1,30,10,8,31.6,67.5,46.61,3,3,False
C02665,D079,110,1.8,110,6,5,8.5,13.13,15.98,1,1,False
C02666,D033,5,1.3,5,1,0,0.1,24.93,2.37,0,1,False
C02667,D088,3,1.2,3,1,0,0.3,0.01,8.09,0,1,False
C02668,D058,14,2.6,14,5,3,5.2,0.0,9.66,2,0,False
C02669,D037,38,24.0,38,3,2,20.6,3.12,19.79,1,2,False
C02670,D007,4,0.0,4,6,3,6.6,101.79,29.37,1,2,False
C02671,D004,12,1.1,12,4,3,2.3,28.05,11.48,0,0,False
C02672,D016,47,1.0,47,6,3,0.8,44.29,12.97,1,2,False
C02673,D025,2,6.3,2,1,0,0.1,7.67,7.22,0,0,False
C02674,D006,15,2.2,15,5,2,2.2,25.25,22.25,0,2,False
C02675,D049,7,3.1,7,1,0,7.0,4.8,7.62,1,1,False
C02676,D056,13,0.8,13,3,2,8.0,24.92,23.49,0,1,False
C02677,D097,24,2.6,24,2,1,0.2,4.82,5.34,0,3,False
C02678,D014,15,0.5,15,2,1,0.3,28.3,20.01,0,3,False
C02679,D054,4,3.8,4,1,0,2.5,37.67,6.02,0,0,False
C02680,D081,7,0.5,7,0,0,0.1,10.2,0.61,0,3,False
C02681,D037,50,7.8,50,1,0,10.5,27.14,8.93,1,0,False
C02682,D030,16,4.2,16,5,3,10.7,109.34,53.68,2,5,False
C02683,D005,28,6.4,28,4,3,3.4,9.84,27.61,0,2,False
C02684,D037,15,2.7,15,7,3,2.5,38.05,30.82,0,4,False
C02685,D023,27,2.4,27,1,0,3.6,34.66,8.83,1,1,False
C02686,D070,8,0.5,8,8,6,4.2,17.45,22.74,1,0,False
C02687,D003,5,3.7,5,2,1,3.8,0.0,10.18,1,0,False
C02688,D098,26,3.6,26,1,0,3.2,0.0,11.77,1,0,False
C02689,D038,37,3.2,37,6,4,22.8,58.76,26.63,0,0,False
C02690,D008,4,6.7,4,3,2,0.2,65.6,25.85,0,0,False
C02691,D091,6,8.9,6,4,2,7.9,36.37,26.32,4,0,False
C02692,D023,10,6.9,10,4,2,2.4,28.22,13.8,1,0,False
C02693,D037,61,0.8,61,10,7,25.7,82.55,55.74,3,2,False
C02694,D040,21,4.9,21,2,0,7.4,35.93,21.28,1,1,False
C02695,D010,3,0.4,3,6,5,2.1,4.98,14.8,1,0,False
C02696,D095,11,5.9,11,1,0,0.9,0.0,6.21,0,3,False
C02697,D048,9,2.4,9,2,1,0.1,11.18,14.77,0,2,False
C02698,D027,3,0.7,3,0,0,14.8,35.83,10.45,0,3,False
C02699,D023,10,9.9,10,0,0,2.1,33.47,5.13,0,2,False
C02700,D067,9,4.8,9,9,6,1.6,35.8,33.75,0,4,False
C02701,D055,8,2.2,8,1,0,3.6,10.95,14.59,2,1,False
C02702,D098,8,0.2,8,5,2,19.8,47.54,25.59,1,0,False
C02703,D026,53,3.9,53,6,4,0.9,67.55,18.52,0,1,False
C02704,D076,8,12.8,8,4,1,8.9,43.13,14.46,1,0,False
C02705,D084,12,4.5,12,1,0,4.2,40.69,11.04,0,2,False
C02706,D018,11,17.8,11,10,5,3.5,17.62,29.44,1,1,False
C02707,D086,7,0.7,7,8,6,2.2,86.18,35.67,1,0,False
C02708,D022,13,4.2,13,2,1,10.0,39.14,33.72,2,2,False
C02709,D097,13,8.0,13,4,3,2.5,9.69,14.36,0,0,False
C02710,D044,13,3.7,13,3,1,4.3,83.29,43.4,3,1,False
C02711,D028,5,0.5,5,6,3,17.0,61.56,31.11,4,0,False
C02712,D077,9,4.4,9,3,2,12.5,24.52,8.05,2,1,False
C02713,D019,26,4.7,26,5,2,9.5,79.54,41.97,1,1,False
C02714,D099,10,6.5,10,4,3,0.8,39.61,28.1,1,0,False
C02715,D091,14,7.2,14,1,0,0.6,42.96,13.78,0,3,False
C02716,D005,14,7.4,14,4,3,16.0,73.81,33.78,2,1,False
C02717,D002,18,5.4,18,4,3,18.8,63.51,22.25,0,0,False
C02718,D012,21,1.2,21,5,2,1.3,75.52,36.86,2,0,False
C02719,D014,10,2.6,10,4,2,0.7,0.0,12.66,0,1,False
C02720,D027,4,7.5,4,7,4,17.2,30.73,24.72,0,0,False
C02721,D081,3,15.3,3,5,2,3.5,20.91,16.74,0,1,False
C02722,D066,33,0.4,33,2,1,6.4,12.98,6.04,0,1,False
C02723,D063,26,3.8,26,2,1,1.9,29.24,12.69,0,1,False
C02724,D084,23,1.9,23,6,4,0.9,19.17,14.36,0,1,False
C02725,D095,27,1.3,27,5,4,0.9,47.08,23.67,0,1,False
C02726,D009,10,3.5,10,2,1,1.9,15.84,8.34,0,0,False
C02727,D025,6,4.7,6,2,1,1.6,0.0,5.72,0,2,False
C02728,D091,4,0.0,4,0,0,0.7,0.0,3.45,0,1,False
C02729,D037,4,7.6,4,14,9,13.9,53.04,49.84,1,1,False
C02730,D049,40,8.6,40,4,2,4.1,0.0,10.62,1,0,False
C02731,D016,7,16.8,7,2,1,6.8,0.0,25.24,1,0,False
C02732,D007,34,1.0,34,4,2,8.5,46.42,20.01,0,2,False
C02733,D024,10,4.5,10,5,2,5.4,61.28,20.21,1,3,False
C02734,D022,6,2.8,6,4,3,13.2,7.14,11.98,0,2,False
C02735,D004,4,2.0,4,1,0,6.2,37.89,18.49,0,2,False
C02736,D076,6,4.2,6,2,1,5.8,53.02,13.28,0,1,False
C02737,D088,50,7.6,50,4,3,2.3,38.51,17.76,1,0,False
C02738,D088,4,0.1,4,2,1,1.4,9.05,18.52,1,1,False
C02739,D093,101,17.4,101,7,5,7.5,53.81,37.1,3,2,False
C02740,D021,5,8.3,5,14,8,21.8,64.46,59.75,0,2,False
C02741,D019,25,7.0,25,1,0,0.2,0.0,7.08,2,2,False
C02742,D094,10,7.1,10,8,6,7.0,15.89,20.41,1,0,False
C02743,D096,8,2.5,8,9,4,7.4,0.0,25.41,4,3,False
C02744,D058,3,7.0,3,8,7,15.3,47.73,31.63,1,0,False
C02745,D097,11,2.4,11,1,0,8.9,0.0,8.94,0,3,False
C02746,D021,3,11.4,3,3,2,2.7,19.32,14.15,1,1,False
C02747,D032,2,1.0,2,9,8,0.2,34.36,18.08,0,0,False
C02748,D055,13,1.7,13,4,3,5.8,31.27,14.29,0,3,False
C02749,D053,6,4.0,6,4,3,0.5,32.86,19.25,1,1,False
C02750,D019,65,1.9,65,7,3,3.4,64.18,36.68,2,1,False
C02751,D078,33,2.8,33,7,6,11.5,86.23,38.29,1,3,False
C02752,D012,66,3.4,66,7,3,2.0,69.71,29.31,0,2,False
C02753,D013,6,9.7,6,6,5,20.2,33.29,26.05,0,3,False
C02754,D005,13,3.7,13,8,5,0.5,8.02,15.47,1,1,False
C02755,D022,1,2.3,1,3,1,4.4,62.44,15.54,1,1,False
C02756,D081,9,1.4,9,8,7,11.1,29.81,21.97,2,2,False
C02757,D037,13,2.6,13,3,1,4.6,21.0,19.81,0,3,False
C02758,D045,14,3.6,14,5,3,0.4,67.66,30.38,0,0,False
C02759,D043,11,6.9,11,1,0,3.7,28.58,11.31,0,3,False
C02760,D024,13,0.6,13,1,0,16.8,40.76,11.29,0,2,False
C02761,D075,1,1.3,1,3,1,10.1,27.19,14.52,0,0,False
C02762,D079,15,2.4,15,5,0,18.3,81.62,36.87,0,1,False
C02763,D039,19,2.2,19,1,0,0.3,0.0,5.25,0,2,False
C02764,D011,46,2.5,46,7,5,27.0,41.61,37.1,1,1,False
C02765,D028,17,7.9,17,1,0,2.8,0.0,11.1,0,1,False
C02766,D061,10,2.0,10,9,7,8.7,77.7,24.68,1,1,False
C02767,D048,36,3.5,36,8,4,5.6,26.57,31.08,0,3,False
C02768,D033,1,4.9,1,7,5,3.1,32.24,28.35,0,0,False
C02769,D080,7,1.3,7,5,4,6.5,44.05,24.47,0,1,False
C02770,D014,5,6.3,5,10,4,5.1,63.17,34.18,1,1,False
C02771,D054,11,4.0,11,1,0,7.8,44.68,10.72,0,0,False
C02772,D054,1,3.0,1,1,0,0.6,0.0,8.78,0,0,False
C02773,D077,45,8.3,45,3,2,7.3,0.0,8.53,0,5,False
C02774,D041,9,1.4,9,5,2,3.7,37.54,18.13,1,0,False
C02775,D064,16,10.7,16,4,2,0.9,90.57,29.32,2,2,False
C02776,D027,15,4.1,15,2,0,8.1,39.41,23.88,0,0,False
C02777,D043,43,4.7,43,5,4,0.9,47.19,34.46,2,1,False
C02778,D012,1,10.4,1,0,0,7.2,55.76,14.49,0,2,False
C02779,D001,13,8.5,13,3,2,4.0,50.53,28.99,2,2,False
C02780,D073,38,4.6,38,4,2,3.2,0.0,9.62,0,7,False
C02781,D063,11,7.0,11,5,3,8.1,12.03,29.5,1,1,False
C02782,D082,4,2.8,4,5,3,2.1,0.0,18.9,0,6,False
C02783,D079,6,4.0,6,1,0,2.0,7.42,17.56,2,0,False
C02784,D002,8,0.3,8,9,6,36.2,55.64,31.82,2,1,False
C02785,D029,5,0.5,5,1,0,2.6,19.0,9.51,0,1,False
C02786,D032,10,8.8,10,1,0,2.6,0.0,4.01,0,0,False
C02787,D061,55,0.3,55,4,3,0.6,15.55,6.65,0,0,False
C02788,D059,6,0.9,6,5,4,8.7,26.9,22.26,0,1,False
C02789,D033,7,7.9,7,9,7,4.2,105.26,36.55,2,0,False
C02790,D038,19,0.0,19,1,0,0.4,4.58,10.46,2,0,False
C02791,D032,10,1.7,10,2,1,6.6,0.0,22.23,0,2,False
C02792,D073,3,4.4,3,7,5,3.3,64.78,23.91,1,1,False
C02793,D040,11,4.5,11,5,2,1.0,51.6,25.83,1,2,False
C02794,D027,11,7.5,11,0,0,2.9,49.69,14.05,1,3,False
C02795,D080,32,3.5,32,7,6,2.7,17.37,16.73,0,0,False
C02796,D001,4,3.6,4,7,5,3.3,95.25,34.5,0,1,False
C02797,D087,32,6.5,32,5,3,0.6,29.26,14.59,0,0,False
C02798,D020,11,3.5,11,2,0,5.4,14.87,19.01,1,2,False
C02799,D094,4,4.7,4,0,0,0.1,13.89,2.81,0,2,False
C02800,D006,3,11.4,3,2,1,6.6,0.39,13.34,0,0,False
C02801,D097,84,2.6,84,3,2,0.1,8.14,13.87,0,2,False
C02802,D044,10,2.4,10,1,0,6.9,0.0,12.35,0,1,False
C02803,D064,31,0.0,31,11,9,2.6,36.51,30.32,2,2,False
C02804,D056,2,4.8,2,7,5,6.7,52.37,23.59,2,1,False
C02805,D059,170,0.2,170,15,11,14.5,70.82,52.07,2,2,False
C02806,D003,29,3.5,29,6,4,2.4,42.64,20.97,0,0,False
C02807,D012,9,8.2,9,6,3,9.7,64.92,35.19,1,2,False
C02808,D021,8,4.0,8,2,1,2.4,26.36,12.52,1,2,False
C02809,D031,25,1.6,25,5,4,8.7,26.17,25.5,1,2,False
C02810,D069,23,7.7,23,2,1,4.2,34.55,34.65,0,1,False
C02811,D062,14,1.6,14,1,0,1.6,10.56,10.17,1,2,False
C02812,D085,12,6.6,12,0,0,3.3,42.44,8.13,0,2,False
C02813,D076,21,4.7,21,0,0,0.0,27.11,1.39,0,1,False
C02814,D042,2,0.9,2,4,2,25.6,55.59,27.46,2,1,False
C02815,D031,8,11.8,8,2,1,0.6,0.0,4.45,0,1,False
C02816,D052,2,1.1,2,8,3,30.3,54.6,37.3,0,1,False
C02817,D054,22,22.8,22,14,10,5.8,103.31,51.24,2,1,False
C02818,D099,6,0.0,6,6,3,6.9,21.88,14.27,3,3,False
C02819,D025,2,1.5,2,8,2,1.3,62.7,28.77,0,2,False
C02820,D068,5,1.1,5,3,1,3.5,0.0,8.32,0,3,False
C02821,D092,14,0.1,14,10,2,5.2,11.39,21.56,1,0,False
C02822,D031,9,6.6,9,3,2,6.4,14.52,22.38,0,0,False
C02823,D044,3,5.9,3,5,4,13.1,3.6,24.48,0,0,False
C02824,D039,2,7.9,2,2,1,1.9,0.0,10.01,2,1,False
C02825,D007,13,1.5,13,5,3,5.8,21.24,15.68,0,1,False
C02826,D026,6,2.9,6,4,2,0.6,31.26,20.94,0,2,False
C02827,D025,9,5.4,9,1,0,3.9,0.0,3.68,1,1,False
C02828,D097,10,2.9,10,7,6,5.5,30.44,25.46,0,1,False
C02829,D027,18,6.0,18,5,4,6.0,0.0,11.3,0,1,False
C02830,D017,28,5.0,28,2,1,0.4,65.37,29.2,2,3,False
C02831,D057,14,0.6,14,1,0,0.3,3.54,6.98,0,0,False
C02832,D009,8,7.6,8,1,0,4.4,18.86,13.74,0,3,False
C02833,D020,12,6.4,12,1,0,0.4,0.0,3.85,1,3,False
C02834,D021,8,5.3,8,3,2,10.8,52.16,25.18,0,2,False
C02835,D041,2,0.8,2,7,6,18.0,63.16,38.71,1,2,False
C02836,D061,36,1.6,36,3,1,2.2,4.12,6.28,0,1,False
C02837,D040,30,2.5,30,6,4,4.1,4.91,14.71,0,1,False
C02838,D046,88,1.6,88,4,3,3.2,25.31,10.91,1,3,False
C02839,D009,119,1.3,119,1,0,9.1,0.0,12.48,0,2,False
C02840,D077,3,8.2,3,3,1,7.2,38.14,10.3,0,2,False
C02841,D063,8,5.1,8,5,2,4.2,47.75,13.31,0,2,False
C02842,D068,150,4.2,150,1,0,0.9,0.0,6.66,0,2,False
C02843,D090,11,1.3,11,7,5,1.4,47.08,25.92,2,0,False
C02844,D024,15,12.5,15,2,1,1.6,0.0,5.03,0,1,False
C02845,D002,2,1.1,2,7,5,4.2,5.98,27.6,1,2,False
C02846,D031,14,7.9,14,2,1,1.1,0.0,6.31,0,1,False
C02847,D100,84,17.0,84,1,0,0.7,0.36,4.09,0,3,False
C02848,D002,44,6.5,44,4,2,6.2,37.2,40.48,2,3,False
C02849,D098,6,24.7,6,5,2,10.8,35.42,20.1,0,3,False
C02850,D024,8,5.3,8,4,3,0.8,44.29,25.22,1,0,False
C02851,D071,3,1.2,3,2,1,5.7,73.14,27.93,3,0,False
C02852,D023,5,1.1,5,0,0,0.3,15.88,2.41,0,4,False
C02853,D047,1,2.0,1,1,0,1.9,31.18,4.35,0,0,False
C02854,D084,11,0.0,11,0,0,0.7,9.38,9.27,0,3,False
C02855,D037,55,5.7,55,5,4,4.5,47.7,25.21,0,1,False
C02856,D073,17,1.6,17,1,0,7.1,31.49,15.77,0,2,False
C02857,D058,47,8.4,47,4,2,3.0,11.59,19.08,0,2,False
C02858,D033,35,2.2,35,9,5,2.3,34.13,20.36,1,1,False
C02859,D062,7,3.3,7,6,4,16.0,79.95,44.46,1,0,False
C02860,D022,5,16.9,5,2,1,2.5,22.66,13.34,0,0,False
C02861,D035,5,1.4,5,1,0,2.1,14.71,8.28,0,2,False
C02862,D067,2,6.4,2,1,0,2.5,12.92,19.99,0,3,False
C02863,D063,12,7.0,12,3,1,3.8,58.53,12.63,2,4,False
C02864,D100,1,1.2,1,1,0,3.9,4.25,11.82,0,0,False
C02865,D025,22,3.5,22,5,2,2.2,11.42,12.54,1,2,False
C02866,D080,13,2.2,13,0,0,0.1,30.96,1.99,0,0,False
C02867,D072,19,7.4,19,1,0,0.7,40.44,6.86,0,1,False
C02868,D018,35,4.9,35,0,0,0.7,3.92,5.82,0,1,False
C02869,D057,14,3.2,14,7,3,4.1,30.02,20.9,0,3,False
C02870,D089,62,7.6,62,4,2,21.9,61.88,27.22,0,1,False
C02871,D038,22,1.3,22,5,4,0.2,54.16,21.87,1,3,False
C02872,D053,5,7.0,5,6,3,2.2,57.26,33.29,1,1,False
C02873,D053,9,10.0,9,7,5,0.1,51.27,25.35,0,2,False
C02874,D034,1,10.5,1,4,3,7.0,40.15,23.43,0,1,False
C02875,D021,4,7.7,4,2,1,1.0,0.0,13.03,0,2,False
C02876,D036,8,2.6,8,0,0,5.0,22.15,3.24,0,1,False
C02877,D017,21,20.0,21,4,3,1.6,10.6,24.6,0,3,False
C02878,D046,5,2.4,5,1,0,4.6,16.94,25.31,0,2,False
C02879,D009,3,5.1,3,3,1,1.3,13.45,12.23,0,3,False
C02880,D054,1,0.9,1,6,2,2.1,22.59,22.57,1,1,False
C02881,D073,6,19.7,6,5,3,16.4,13.93,17.52,0,0,False
C02882,D027,85,6.1,85,4,2,17.9,83.61,28.25,0,1,False
C02883,D026,15,7.0,15,4,2,0.1,66.08,29.14,2,0,False
C02884,D018,31,0.3,31,2,1,1.2,20.67,8.65,1,0,False
C02885,D045,4,7.2,4,2,1,2.6,32.61,8.13,0,2,False
C02886,D047,2,7.5,2,2,0,3.5,61.33,18.0,1,4,False
C02887,D042,3,5.6,3,6,4,36.5,25.22,29.21,1,0,False
C02888,D081,11,1.7,11,2,1,9.6,29.54,25.38,0,0,False
C02889,D078,1,3.4,1,7,4,10.6,64.66,37.49,1,3,False
C02890,D081,4,0.6,4,6,4,8.4,84.98,56.03,2,2,False
C02891,D032,6,3.2,6,0,0,0.1,0.0,2.51,0,2,False
C02892,D019,3,1.4,3,5,1,6.1,45.11,16.42,1,1,False
C02893,D076,1,2.1,1,1,0,0.1,3.22,5.29,0,3,False
C02894,D100,16,0.9,16,4,2,9.5,0.0,12.09,1,0,False
C02895,D025,12,1.3,12,3,2,0.7,35.73,5.14,0,1,False
C02896,D019,26,0.4,26,3,2,3.6,53.21,14.82,2,0,False
C02897,D080,4,12.6,4,3,1,3.7,75.79,23.89,0,1,False
C02898,D031,26,3.8,26,5,4,1.0,50.87,7.68,0,1,False
C02899,D038,56,2.5,56,5,2,21.6,21.23,17.67,0,1,False
C02900,D087,15,3.8,15,4,2,3.9,16.55,15.9,0,3,False
C02901,D064,6,4.9,6,7,6,10.8,0.0,16.91,1,1,False
C02902,D020,14,12.7,14,2,1,0.5,0.0,6.94,1,1,False
C02903,D035,6,1.0,6,2,1,5.0,39.01,21.16,0,0,False
C02904,D035,5,1.8,5,4,3,1.4,0.0,7.27,0,0,False
C02905,D055,24,18.6,24,4,1,3.2,43.96,21.5,0,2,False
C02906,D100,10,2.3,10,14,5,8.8,73.78,43.3,1,1,False
C02907,D058,40,0.1,40,6,4,2.4,28.65,29.26,1,0,False
C02908,D052,7,0.8,7,1,0,2.3,18.84,4.82,0,2,False
C02909,D025,8,0.1,8,8,6,7.9,55.18,28.07,3,1,False
C02910,D091,6,23.0,6,3,2,0.7,4.22,17.28,1,1,False
C02911,D050,3,1.6,3,1,0,0.6,0.0,2.94,0,0,False
C02912,D070,27,12.9,27,1,0,8.5,19.88,9.86,1,1,False
C02913,D004,108,27.5,108,4,3,28.9,32.14,34.22,2,1,False
C02914,D084,8,4.6,8,1,0,19.4,0.0,14.08,0,3,False
C02915,D009,6,0.2,6,3,2,1.2,28.44,16.11,0,2,False
C02916,D065,5,0.4,5,5,3,16.4,33.14,33.59,0,0,False
C02917,D085,6,3.3,6,6,4,10.2,24.48,38.02,1,0,False
C02918,D024,63,2.6,63,3,2,10.5,14.58,23.75,1,1,False
C02919,D003,5,4.7,5,1,0,2.9,0.0,9.15,0,1,False
C02920,D018,6,2.9,6,5,3,0.9,8.61,10.6,0,1,False
C02921,D084,3,13.6,3,6,4,0.6,61.57,19.33,1,0,False
C02922,D057,16,3.8,16,6,4,9.1,88.0,45.18,3,1,False
C02923,D055,11,5.9,11,1,0,4.2,49.27,28.8,2,1,False
C02924,D034,3,11.3,3,2,1,1.5,4.95,9.62,0,0,False
C02925,D053,4,0.8,4,8,3,3.7,26.35,14.31,1,0,False
C02926,D057,56,1.3,56,6,5,18.8,79.25,42.8,3,4,False
C02927,D064,12,0.6,12,3,1,5.9,45.96,15.19,0,0,False
C02928,D046,13,0.8,13,5,1,3.9,14.93,20.14,0,1,False
C02929,D050,13,3.6,13,8,5,4.8,0.0,21.18,1,0,False
C02930,D023,49,1.9,49,15,8,12.0,106.77,45.78,1,1,False
C02931,D031,4,2.8,4,6,3,12.1,68.3,28.39,1,3,False
C02932,D056,8,20.2,8,5,4,12.6,29.62,19.71,0,0,False
C02933,D013,10,0.9,10,1,0,1.4,0.0,6.43,0,0,False
C02934,D059,2,3.9,2,1,0,3.5,0.0,5.83,0,1,False
C02935,D091,4,0.5,4,4,2,10.3,5.94,12.67,1,1,False
C02936,D091,34,1.9,34,1,0,0.2,0.0,3.68,0,2,False
C02937,D042,26,3.7,26,7,4,2.8,15.94,14.79,0,2,False
C02938,D035,31,14.7,31,6,4,2.4,26.73,20.22,0,0,False
C02939,D050,6,2.5,6,12,8,1.1,12.91,23.85,3,3,False
C02940,D022,7,0.3,7,3,2,1.0,16.32,10.57,0,2,False
C02941,D098,2,2.5,2,3,1,2.0,39.37,12.6,0,1,False
C02942,D030,30,0.8,30,2,1,2.3,4.14,10.34,0,1,False
C02943,D063,36,1.3,36,10,5,6.8,69.48,31.26,1,2,False
C02944,D044,36,4.8,36,2,1,0.5,12.91,4.09,1,0,False
C02945,D073,60,0.3,60,6,4,22.4,42.4,24.51,0,1,False
C02946,D095,18,3.1,18,2,1,0.1,0.0,5.58,0,1,False
C02947,D017,57,4.7,57,2,1,11.2,67.42,25.75,0,1,False
C02948,D016,9,2.7,9,4,3,16.5,39.31,21.62,0,3,False
C02949,D100,2,0.1,2,4,3,9.4,41.29,21.19,1,2,False
C02950,D042,28,21.2,28,3,2,0.8,49.64,20.14,2,0,False
C02951,D002,2,2.3,2,4,3,12.3,11.62,20.24,0,1,False
C02952,D096,14,7.5,14,2,1,1.7,39.67,15.36,0,3,False
C02953,D037,31,2.0,31,0,0,0.1,0.0,1.22,0,1,False
C02954,D035,16,3.2,16,10,6,26.1,36.57,30.52,0,2,False
C02955,D052,118,2.5,118,2,1,3.6,27.08,17.14,0,3,False
C02956,D062,1,2.1,1,6,5,4.3,26.95,24.56,2,1,False
C02957,D074,11,0.1,11,2,1,1.1,6.86,12.84,1,2,False
C02958,D005,12,2.2,12,1,0,2.0,0.0,8.95,0,2,False
C02959,D040,3,11.0,3,1,0,3.1,18.87,14.92,1,1,False
C02960,D054,3,5.9,3,2,1,1.1,0.0,8.33,0,4,False
C02961,D061,5,0.8,5,7,5,4.7,42.03,37.95,1,1,False
C02962,D072,4,4.5,4,1,0,1.8,36.92,18.91,1,2,False
C02963,D008,10,11.1,10,2,0,10.8,21.4,27.6,1,0,False
C02964,D025,6,6.0,6,2,1,8.3,27.4,12.96,1,0,False
C02965,D086,16,0.8,16,6,4,8.6,80.52,31.44,1,2,False
C02966,D012,23,10.1,23,5,3,3.3,54.49,14.15,0,0,False
C02967,D081,21,1.8,21,6,5,12.7,12.47,31.0,1,1,False
C02968,D039,8,3.0,8,0,0,0.9,9.93,3.58,1,1,False
C02969,D100,16,3.7,16,3,1,2.2,9.04,19.73,1,0,False
C02970,D060,34,9.5,34,2,1,2.1,0.0,12.2,1,4,False
C02971,D015,19,13.4,19,4,2,2.9,28.34,18.39,0,1,False
C02972,D053,78,13.3,78,3,2,4.5,63.14,28.01,0,0,False
C02973,D094,32,0.0,32,4,3,5.0,46.18,18.07,0,2,False
C02974,D062,67,12.7,67,3,1,5.0,0.63,21.82,1,0,False
C02975,D018,1,0.3,1,6,2,0.2,26.04,13.51,1,1,False
C02976,D091,13,1.5,13,3,1,0.6,25.73,21.22,2,3,False
C02977,D059,8,3.6,8,1,0,0.0,0.0,16.78,0,2,False
C02978,D054,10,3.3,10,3,2,10.2,36.2,15.13,1,3,False
C02979,D011,5,4.6,5,4,3,5.1,21.76,34.39,0,2,False
C02980,D058,18,3.3,18,0,0,1.2,8.85,6.33,1,2,False
C02981,D037,1,13.6,1,4,3,0.1,45.84,19.37,0,1,False
C02982,D067,18,1.4,18,7,5,5.2,51.86,33.17,2,0,False
C02983,D095,5,1.6,5,4,2,10.9,45.21,32.35,4,0,False
C02984,D037,7,12.7,7,4,3,1.0,26.21,10.9,0,1,False
C02985,D025,18,0.4,18,0,0,1.7,16.18,5.57,0,1,False
C02986,D006,13,4.7,13,10,6,1.4,100.2,54.76,2,3,False
C02987,D099,34,5.7,34,6,4,9.5,65.95,41.18,0,1,False
C02988,D052,4,3.5,4,6,3,22.1,47.91,20.08,0,2,False
C02989,D070,11,5.9,11,6,4,34.5,72.97,37.54,2,1,False
C02990,D079,29,0.9,29,2,1,7.2,39.91,14.07,0,0,False
C02991,D035,17,9.6,17,7,3,4.3,0.0,22.33,1,0,False
C02992,D076,18,0.8,18,9,5,0.2,34.09,30.53,0,1,False
C02993,D007,36,2.6,36,5,3,6.4,55.53,24.84,0,0,False
C02994,D057,8,0.4,8,1,0,0.4,29.65,12.47,1,3,False
C02995,D059,6,3.9,6,6,4,4.1,90.24,57.82,1,1,False
C02996,D043,21,5.5,21,4,3,3.3,29.57,11.97,0,3,False
C02997,D022,10,14.2,10,4,3,6.6,83.97,44.81,1,1,False
C02998,D028,37,6.7,37,15,12,1.2,45.55,31.64,1,2,False
C02999,D012,17,3.9,17,9,3,1.7,6.43,24.57,1,0,False
C03000,D041,6,13.5,6,6,4,2.6,75.63,22.5,1,1,False
C03001,D056,17,3.3,17,17,12,35.1,83.43,58.92,3,1,False
C03002,D081,4,4.1,4,6,4,15.1,31.77,18.74,0,2,False
C03003,D075,31,4.5,31,1,0,14.8,0.0,9.96,0,0,False
C03004,D062,3,2.6,3,2,1,17.5,58.81,30.14,0,1,False
C03005,D081,41,9.1,41,2,1,7.8,0.0,7.68,1,2,False
C03006,D088,16,1.0,16,2,1,2.0,5.97,8.98,0,4,False
C03007,D052,10,4.0,10,5,3,7.2,47.32,33.53,4,1,False
C03008,D080,26,6.4,26,0,0,0.8,35.26,5.55,0,3,False
C03009,D016,20,11.7,20,10,5,4.1,94.37,38.42,1,0,False
C03010,D040,46,10.8,46,1,0,3.3,22.36,10.36,1,1,False
C03011,D022,45,3.6,45,0,0,0.3,13.27,0.66,0,2,False
C03012,D088,17,5.2,17,6,4,21.6,36.57,20.23,1,0,False
C03013,D005,5,2.5,5,2,1,4.0,10.68,13.35,0,0,False
C03014,D093,7,3.2,7,3,2,9.6,0.0,21.28,2,1,False
C03015,D031,11,11.8,11,6,4,3.4,74.79,31.24,3,1,False
C03016,D057,35,13.3,35,1,0,0.5,13.48,3.95,0,1,False
C03017,D090,7,11.3,7,0,0,0.0,11.0,3.45,0,2,False
C03018,D014,8,0.7,8,3,2,5.3,60.83,24.42,1,1,False
C03019,D054,77,9.5,77,1,0,3.0,0.0,9.83,0,2,False
C03020,D055,10,14.8,10,10,7,7.6,46.95,42.42,0,0,False
C03021,D011,6,2.2,6,3,1,1.6,23.12,13.88,0,1,False
C03022,D033,26,3.7,26,0,0,11.4,48.94,23.95,0,1,False
C03023,D009,11,7.6,11,6,4,7.0,44.66,22.79,1,3,False
